2017-10-02 15:21:30.3036 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-02 15:27:35.2775 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-02 15:52:30.6741 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-02 18:16:47.2810 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-02 18:20:26.7046 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-02 18:21:10.9971 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-02 18:23:05.6986 | WARN | DataAccessLibrary.DataBuilder | Login failed for user 'DB_A28C68_smdbsql_admin'.
2017-10-02 18:23:06.1627 | WARN | DataAccessLibrary.DataBuilder | Ќевозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-02 18:23:26.2018 | WARN | DataAccessLibrary.DataBuilder | Login failed for user 'DB_A28C68_smdbsql_admin'.
2017-10-02 18:23:26.3948 | WARN | DataAccessLibrary.DataBuilder | Ќевозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-02 18:25:09.8767 | WARN | DataAccessLibrary.DataBuilder | Login failed for user 'DB_A28C68_smdbsql_admin'.
2017-10-02 18:25:09.9308 | WARN | DataAccessLibrary.DataBuilder | Ќевозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-02 18:25:15.2381 | WARN | DataAccessLibrary.DataBuilder | Login failed for user 'DB_A28C68_smdbsql_admin'.
2017-10-02 18:25:15.2661 | WARN | DataAccessLibrary.DataBuilder | Ќевозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-02 18:27:10.3496 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-02 18:41:09.6316 | WARN | DataAccessLibrary.DataBuilder | ѕроизошла ошибка при выполнении определени€ команды. ƒополнительные сведени€ приведены во внутреннем исключении.
2017-10-02 18:41:09.6866 | WARN | DataAccessLibrary.DataBuilder | Ќевозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-02 18:43:39.4782 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-02 18:44:51.2213 | WARN | DataAccessLibrary.DataBuilder | ѕроизошла ошибка при выполнении определени€ команды. ƒополнительные сведени€ приведены во внутреннем исключении.
2017-10-02 18:44:51.4143 | WARN | DataAccessLibrary.DataBuilder | Ќевозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-02 18:46:21.4545 | INFO | safemooneyBackend.WebApiApplication | Application Start
