2017-10-06 19:13:57.9602 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:14:02.7925 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:14:02.8175 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:14:07.9958 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:14:08.2148 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:14:12.8130 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:14:12.8330 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:14:17.8082 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:14:17.8282 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:14:22.8113 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:14:22.8413 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:14:27.8175 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:14:27.9066 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:14:32.8617 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:14:32.9007 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:14:38.0719 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:14:38.1199 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:14:38.7239 | WARN | DataAccessLibrary.DataBuilder | При обновлении записей возникла ошибка. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:14:38.7879 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:14:44.3743 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
