2017-09-26 10:32:20.6382 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-09-26 10:49:19.1615 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-09-26 10:49:25.1728 | INFO | safemooneyBackend.Controllers.AccountController | User <username: SergeyIS> is authorized
2017-09-26 10:52:57.7400 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-09-26 12:08:06.2918 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-09-26 12:10:17.3273 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка базового поставщика в Open.
2017-09-26 12:10:17.4653 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-09-26 12:17:12.3631 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-09-26 12:17:53.3264 | INFO | safemooneyBackend.Controllers.AccountController | User <username: SergeyIS> is authorized
2017-09-26 12:25:23.3351 | INFO | safemooneyBackend.Controllers.AccountController | user's account was changed from <id: 13, firstname: Sidorov, lastname: Sergey, username: SergeyIS> to <id: 13, firstname: Sergey, lastname: Ivanovich, username: SergeyIS>
2017-09-26 12:26:23.4396 | INFO | safemooneyBackend.Controllers.AccountController | user's account was changed from <id: 13, firstname: Sergey, lastname: Ivanovich, username: SergeyIS> to <id: 13, firstname: Sergey, lastname: Ivanovich, username: SergeyIS>
2017-09-26 12:29:42.8820 | INFO | safemooneyBackend.Controllers.AccountController | user's account was changed from <id: 13, firstname: Sergey, lastname: Ivanovich, username: SergeyIS> to <id: 13, firstname: Sergey, lastname: Ivanovich, username: SergeyIS>
2017-09-26 12:31:42.5138 | INFO | safemooneyBackend.Controllers.AccountController | User <id: 13> logout
2017-09-26 12:47:00.1663 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-09-26 12:47:19.4664 | INFO | safemooneyBackend.Controllers.AccountController | User <username: SergeyIS> is authorized
2017-09-26 12:58:44.3726 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка базового поставщика в Open.
2017-09-26 12:58:44.4376 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-09-26 13:04:26.9502 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка базового поставщика в Open.
2017-09-26 13:04:27.0262 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-09-26 13:04:45.3822 | INFO | safemooneyBackend.Controllers.AccountController | user was unauthorized <id: 13>
2017-09-26 13:06:56.8558 | INFO | safemooneyBackend.Controllers.AccountController | user was unauthorized <id: 13>
2017-09-26 13:07:55.5801 | INFO | safemooneyBackend.Controllers.AccountController | User <id: 13> logout
2017-09-26 13:08:44.7279 | INFO | safemooneyBackend.Controllers.AccountController | User <username: SergeyIS, password: 123> is unauthorized
2017-09-26 13:08:49.6152 | INFO | safemooneyBackend.Controllers.AccountController | User <username: SergeyIS> is authorized
2017-09-26 13:35:47.9898 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка базового поставщика в Open.
2017-09-26 13:35:48.0078 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-09-26 13:35:59.6224 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка базового поставщика в Open.
2017-09-26 13:35:59.6425 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
