2017-10-14 00:23:13.6626 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-14 00:35:44.0565 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-14 00:36:36.4025 | WARN | DataAccessLibrary.DataBuilder | Не удалось создать константу с типом "SharedResourcesLibrary.Models.UserImage". В этом контексте поддерживаются только типы-примитивы и типы перечисления.
2017-10-14 00:36:36.4355 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-14 00:37:17.4519 | WARN | DataAccessLibrary.DataBuilder | Не удалось создать константу с типом "SharedResourcesLibrary.Models.UserImage". В этом контексте поддерживаются только типы-примитивы и типы перечисления.
2017-10-14 00:37:17.5079 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-14 00:37:58.9982 | WARN | DataAccessLibrary.DataBuilder | Не удалось создать константу с типом "SharedResourcesLibrary.Models.UserImage". В этом контексте поддерживаются только типы-примитивы и типы перечисления.
2017-10-14 00:37:59.1053 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-14 00:40:49.3810 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-14 00:43:25.3789 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-14 00:52:23.5397 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-14 01:05:57.8393 | WARN | DataAccessLibrary.DataBuilder | Последовательность не содержит элементов
2017-10-14 01:05:57.8763 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-14 01:06:04.0096 | WARN | DataAccessLibrary.DataBuilder | Последовательность не содержит элементов
2017-10-14 01:06:04.0406 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-14 01:06:20.2966 | WARN | DataAccessLibrary.DataBuilder | Последовательность не содержит элементов
2017-10-14 01:06:20.3266 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-14 01:06:32.4973 | WARN | DataAccessLibrary.DataBuilder | Последовательность не содержит элементов
2017-10-14 01:06:32.5253 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-14 13:01:26.5023 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-14 13:02:21.5504 | INFO | safemooneyBackend.Controllers.AccountController | User <username: SergeyIS> is authorized
2017-10-14 13:08:13.5135 | WARN | DataAccessLibrary.DataBuilder | Последовательность не содержит элементов
2017-10-14 13:08:13.6655 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-14 13:09:42.3506 | WARN | DataAccessLibrary.DataBuilder | Последовательность не содержит элементов
2017-10-14 13:09:42.4746 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-14 13:22:49.7757 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-14 13:25:39.5674 | WARN | DataAccessLibrary.DataBuilder | Последовательность не содержит элементов
2017-10-14 13:25:39.6794 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-14 13:27:27.2325 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-14 13:29:34.2418 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-14 13:48:00.2160 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-14 13:51:06.3957 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-14 13:52:33.2377 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-14 14:04:28.9976 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-14 14:15:16.8587 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-14 14:20:51.1818 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-14 14:31:20.3608 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-14 14:33:15.2653 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-14 14:34:26.0004 | WARN | DataAccessLibrary.DataBuilder | Последовательность не содержит элементов
2017-10-14 14:34:26.4134 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-14 14:35:38.2825 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-14 14:36:08.6623 | WARN | DataAccessLibrary.DataBuilder | Последовательность не содержит элементов
2017-10-14 14:36:08.8113 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-14 14:38:33.7236 | WARN | DataAccessLibrary.DataBuilder | Последовательность не содержит элементов
2017-10-14 14:38:33.9576 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
