2017-10-05 11:15:20.9565 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-05 15:54:20.3879 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-05 15:54:21.3380 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-05 15:55:02.7593 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка базового поставщика в Open.
2017-10-05 15:55:02.7963 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-05 17:28:23.7377 | INFO | safemooneyBackend.Controllers.AccountController | User <id: 1> logout
2017-10-05 17:28:48.3881 | INFO | safemooneyBackend.Controllers.AccountController | the user's account was created <username: testUser, id: 0>
2017-10-05 17:28:49.1991 | INFO | safemooneyBackend.Controllers.AccountController | User <username: testUser> is authorized
2017-10-05 17:30:42.2537 | INFO | safemooneyBackend.Controllers.AccountController | User <id: 3> logout
2017-10-05 17:30:46.3529 | INFO | safemooneyBackend.Controllers.AccountController | User <username: SergeyIS> is authorized
